"Ano";"1 Região Norte";"2 Região Nordeste";"3 Região Sudeste";"4 Região Sul";"5 Região Centro-Oeste";" Total"
"1994";"31,03";"40,54";"55,22";"51,60";"25,84";"38,27"
"1995";"41,67";"43,80";"46,43";"51,24";"45,10";"45,71"
"1996";"55,20";"50,93";"44,66";"53,84";"52,54";"50,01"
"1997";"68,57";"65,71";"70,58";"71,50";"69,92";"68,95"
"1998";"73,28";"66,45";"74,42";"65,09";"76,53";"70,65"
"1999";"81,34";"84,10";"91,64";"80,95";"87,47";"86,57"
"2000";"75,81";"75,42";"76,98";"75,31";"81,77";"76,50"
"2001";"80,97";"79,57";"79,84";"78,24";"82,90";"79,85"
"2002";"78,91";"77,12";"74,23";"75,44";"79,67";"76,09"
"2003";"75,09";"73,92";"71,12";"72,82";"76,82";"72,97"
"2004";"89,60";"87,09";"77,79";"78,17";"93,13";"82,79"
"2005";"82,39";"79,01";"74,56";"72,41";"84,49";"77,04"
"2006";"81,57";"78,07";"73,20";"72,20";"84,59";"76,12"
"2007";"83,99";"79,55";"72,89";"72,97";"87,43";"76,94"
"2008";"80,80";"75,62";"71,35";"71,00";"83,31";"74,32"
"2009";"82,21";"77,68";"73,73";"73,38";"86,15";"76,52"
"2010";"78,08";"76,68";"72,39";"71,91";"80,04";"74,66"
"2011";"83,91";"84,55";"85,50";"86,62";"87,00";"85,31"
"2012";"78,21";"76,04";"77,94";"76,98";"78,55";"77,32"
"2013";"68,12";"71,91";"73,82";"75,01";"80,09";"73,29"
"2014";"76,25";"85,66";"87,97";"87,04";"92,76";"86,31"
"2015";"83,05";"95,40";"98,51";"94,24";"94,42";"95,07"
"2016";"48,22";"47,96";"49,04";"55,60";"60,87";"50,44"
"2017";"66,24";"70,05";"74,63";"77,43";"76,14";"72,93"
"2018";"69,14";"74,04";"79,06";"81,40";"81,87";"77,13"
"2019";"72,77";"69,24";"72,72";"81,92";"78,18";"73,44"
"2020";"53,64";"53,00";"59,30";"67,65";"65,14";"58,53"
"Total";"74,50";"74,28";"74,21";"74,34";"79,93";"74,69"
